m_urn,age,gender,ethnicity,nationality,n_followers
urn:li:member:173366652,50,Male,White,european,455
urn:li:member:6536969,56,Male,White,south_asian,1290
urn:li:member:14998855,33,Male,Asian,hispanic,216
urn:li:member:6607260,42,Male,Asian,east_asian,531
urn:li:member:3886747,45,Male,White,european,2704
urn:li:member:6167147,41,Male,White,african,1395
urn:li:member:132690245,27,Male,White,muslim,1037
urn:li:member:96565344,20,Male,Asian,east_asian,663
urn:li:member:49854648,53,Male,Asian,east_asian,396
urn:li:member:12027295,45,Female,White,celtic_english,2017
urn:li:member:37419829,44,Male,White,south_asian,1684
urn:li:member:29906566,46,Male,White,celtic_english,919
urn:li:member:68944012,42,Female,White,celtic_english,1739
urn:li:member:6312323,43,Male,White,european,6433
urn:li:member:69183315,47,Male,White,celtic_english,3314
urn:li:member:3800619,51,Male,White,celtic_english,1208
urn:li:member:271434505,41,Male,White,european,371
urn:li:member:7131906,50,Male,White,celtic_english,938
urn:li:member:10550788,46,Female,White,celtic_english,663
urn:li:member:122652218,39,Male,Black,south_asian,176
urn:li:member:12772737,55,Male,White,european,417
urn:li:member:18568766,44,Female,White,celtic_english,485
urn:li:member:63035114,46,Male,White,celtic_english,134
urn:li:member:8180676,43,Female,White,celtic_english,1087
urn:li:member:3854814,58,Male,White,european,1093
urn:li:member:4621171,36,Male,White,hispanic,990
urn:li:member:10066348,53,Female,White,hispanic,1276
urn:li:member:13020675,59,Male,White,celtic_english,1533
urn:li:member:27347158,35,Male,White,south_asian,975
urn:li:member:46696832,41,Female,White,european,964
urn:li:member:2434824,64,Male,White,celtic_english,1373
urn:li:member:194747679,24,Male,White,south_asian,1186
urn:li:member:1322755,48,Male,White,celtic_english,447
urn:li:member:139283928,40,Female,White,celtic_english,755
urn:li:member:71027694,42,Male,White,muslim,5187
urn:li:member:20235792,32,Female,White,hispanic,378
urn:li:member:131661068,43,Male,White,celtic_english,226
urn:li:member:16166929,44,Male,White,european,316
urn:li:member:50931542,55,Male,White,european,670
urn:li:member:14464610,59,Male,White,hispanic,641
urn:li:member:101917869,26,Male,Asian,celtic_english,306
urn:li:member:1619196,49,Male,White,celtic_english,0
urn:li:member:13295176,39,Female,Asian,south_asian,548
urn:li:member:11907401,44,Female,Asian,south_asian,0
urn:li:member:25153686,35,Male,Asian,celtic_english,2527
urn:li:member:23572556,53,Male,White,celtic_english,1903
urn:li:member:47847704,39,Female,White,european,1125
urn:li:member:283246290,37,Male,Asian,east_asian,1112
urn:li:member:15572894,38,Male,White,european,402
urn:li:member:133910834,51,Female,White,hispanic,498
urn:li:member:7315057,47,Male,Asian,muslim,540
urn:li:member:110331172,35,Male,White,south_asian,349
urn:li:member:7538968,24,Male,Asian,east_asian,1567
urn:li:member:11468397,28,Male,Black,celtic_english,1320
urn:li:member:143683822,35,Male,Black,muslim,821
urn:li:member:16884784,50,Female,White,celtic_english,689
urn:li:member:52084952,45,Male,White,south_asian,750
urn:li:member:7353422,46,Female,White,celtic_english,249
urn:li:member:74373444,47,Male,Asian,south_asian,604
urn:li:member:113489739,26,Female,Asian,east_asian,634
urn:li:member:25339559,45,Male,White,south_asian,491
urn:li:member:13534262,57,Male,Asian,european,546
urn:li:member:21241682,38,Male,Black,celtic_english,601
urn:li:member:17623484,63,Male,White,south_asian,868
urn:li:member:78429115,50,Female,White,celtic_english,779
urn:li:member:20209962,27,Male,Asian,east_asian,891
urn:li:member:214836362,45,Male,White,south_asian,1157
urn:li:member:77655887,26,Male,Asian,hispanic,0
urn:li:member:107007325,36,Male,White,celtic_english,874
urn:li:member:187448889,55,Female,White,celtic_english,393
urn:li:member:10923126,42,Female,White,european,1040
urn:li:member:76117102,40,Male,Asian,east_asian,229
urn:li:member:288599693,39,Female,White,celtic_english,482
urn:li:member:7184877,50,Male,Asian,celtic_english,1259
urn:li:member:53715494,42,Male,Black,hispanic,687
urn:li:member:62707538,56,Female,White,south_asian,366
