m_urn,beauty,beauty_female,beauty_male,blur,blur_gaussian,blur_motion,face_quality,smile,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_open,mouth_mask,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain
urn:li:member:117303413,64.015,64.015,62.549,0.331,0.331,0.331,0.006,15.296,None,2.3754756,-28.249125,34.577843,100.0,0.0,0.0,0.0,2.69,13.359,1.027,3.8
urn:li:member:40324861,64.992,67.945,64.992,81.2,81.2,81.2,0.006,82.847,None,-1.2599342,-14.07902,8.450049,0.0,100.0,0.0,0.0,3.324,3.432,86.591,5.64
urn:li:member:21542257,58.627,64.916,58.627,0.366,0.366,0.366,82.143,68.541,None,10.190752,4.3411655,-7.6262636,99.994,0.006,0.0,0.0,51.828,1.448,0.797,64.509
urn:li:member:329538439,42.047,46.824,42.047,0.52,0.52,0.52,62.909,87.489,Normal,6.363587,-9.754801,-13.51777,0.0,99.979,0.0,0.021,11.069,42.021,5.422,4.728
urn:li:member:943328,40.48,40.48,44.753,0.336,0.336,0.336,70.38,16.985,None,3.8218527,-8.298878,12.579364,99.994,0.006,0.0,0.0,93.622,99.636,8.144,94.236
urn:li:member:2395448,48.805,48.805,41.922,7.385,7.385,7.385,86.533,99.795,None,3.9258351,-0.34744275,-5.6779065,0.0,100.0,0.0,0.0,5.399,6.915,15.896,33.748
urn:li:member:54112309,50.969,57.311,50.969,0.521,0.521,0.521,80.718,64.825,None,4.2681355,19.55207,-9.858641,99.999,0.001,0.0,0.0,3.505,2.098,17.701,2.168
urn:li:member:28720248,34.465,36.874,34.465,0.545,0.545,0.545,72.566,52.229,None,-0.94770324,-7.892046,12.469138,0.0,100.0,0.0,0.0,1.24,18.04,2.611,0.695
urn:li:member:174760225,44.808,46.812,44.808,1.398,1.398,1.398,87.885,40.604,None,5.7545877,-2.428313,-6.0571475,100.0,0.0,0.0,0.0,15.423,5.95,36.691,1.07
urn:li:member:4206431,31.984,36.258,31.984,0.361,0.361,0.361,88.084,49.656,Normal,2.20889,-3.6111312,7.126077,0.12,99.427,0.0,0.452,62.471,2.605,0.74,87.432
urn:li:member:5722241,39.565,39.565,42.219,1.278,1.278,1.278,93.945,0.835,Normal,0.12502575,-33.841457,1.5948056,99.978,0.0,0.0,0.022,83.018,44.795,0.574,99.114
urn:li:member:38106159,45.305,51.882,45.305,1.372,1.372,1.372,60.017,28.423,None,4.6019835,7.1478796,-14.151566,0.0,100.0,0.0,0.0,11.313,1.824,56.684,7.135
