m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:97406677,0.081,0.005,0.908,98.988,0.005,0.008,0.005
urn:li:member:15656299,0.944,7.261,0.054,88.321,3.235,0.131,0.054
urn:li:member:956345,3.19,0.182,88.88,0.035,0.933,0.035,6.745
urn:li:member:18031383,0.139,0.23,0.002,99.622,0.002,0.002,0.002
urn:li:member:2582376,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:5727093,0.03,0.255,0.234,98.371,1.05,0.03,0.03
urn:li:member:9083175,0.0,0.0,0.001,99.997,0.0,0.001,0.001
urn:li:member:21999872,0.033,13.741,0.94,81.755,0.266,3.198,0.067
urn:li:member:66854075,0.0,0.0,0.0,99.846,0.019,0.0,0.133
urn:li:member:14190147,0.0,0.017,0.0,99.979,0.0,0.0,0.003
urn:li:member:4587286,0.077,0.033,0.188,0.935,98.707,0.021,0.04
urn:li:member:39314367,0.074,17.154,10.951,23.759,47.913,0.074,0.074
urn:li:member:182687710,0.0,0.0,0.002,99.997,0.0,0.0,0.001
urn:li:member:165713,0.0,0.0,0.002,99.993,0.0,0.002,0.001
urn:li:member:47039602,0.0,0.001,0.0,99.997,0.0,0.0,0.002
urn:li:member:188379147,0.153,0.153,1.819,5.068,5.558,85.872,1.377
urn:li:member:20595574,0.0,0.0,0.0,41.208,58.703,0.0,0.087
urn:li:member:23038650,0.0,0.002,0.0,99.998,0.0,0.0,0.0
urn:li:member:5646892,0.287,6.347,11.559,47.934,28.462,5.124,0.287
urn:li:member:45551774,0.001,0.003,0.0,99.996,0.0,0.0,0.0
urn:li:member:16956150,0.001,0.0,0.0,99.996,0.0,0.003,0.0
urn:li:member:11779526,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:149324344,0.0,0.0,0.0,99.996,0.004,0.0,0.0
urn:li:member:9663686,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:184091233,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:342546325,0.0,0.0,0.0,99.999,0.001,0.0,0.0
urn:li:member:62736922,0.002,0.006,0.002,83.939,16.024,0.025,0.002
urn:li:member:5327773,0.0,0.0,0.004,99.994,0.0,0.001,0.0
urn:li:member:22347663,1.807,0.018,0.018,0.42,94.633,3.085,0.018
urn:li:member:188629734,0.0,0.0,0.002,99.996,0.0,0.0,0.002
urn:li:member:17921337,0.004,0.265,0.011,27.856,71.856,0.004,0.004
urn:li:member:46722146,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:196967217,0.0,0.005,0.022,99.972,0.0,0.0,0.0
urn:li:member:22224318,0.0,0.0,0.001,99.999,0.0,0.0,0.0
urn:li:member:18080914,0.0,0.0,0.003,99.997,0.0,0.0,0.0
urn:li:member:20681104,0.002,0.0,0.0,99.877,0.118,0.002,0.0
urn:li:member:37064830,0.0,0.0,0.0,99.993,0.0,0.005,0.001
urn:li:member:94175782,0.0,0.002,0.0,99.992,0.0,0.0,0.005
urn:li:member:5401240,84.332,0.015,0.015,1.898,13.659,0.066,0.015
urn:li:member:17265945,0.049,0.049,0.515,98.521,0.129,0.333,0.404
urn:li:member:272566,0.003,0.008,0.002,70.456,29.525,0.004,0.002
urn:li:member:40937509,0.013,0.013,0.022,38.683,0.013,0.013,61.244
urn:li:member:554106,0.0,0.0,0.0,99.998,0.001,0.0,0.0
urn:li:member:59554214,0.014,0.002,0.0,99.975,0.007,0.001,0.0
urn:li:member:5429753,0.0,0.001,0.0,0.043,99.915,0.005,0.035
urn:li:member:182801990,0.039,0.01,0.084,0.896,95.515,0.01,3.446
urn:li:member:53485163,0.002,0.0,0.0,0.0,99.994,0.002,0.001
urn:li:member:222387096,0.0,0.0,0.0,0.0,99.999,0.0,0.0
urn:li:member:4567194,0.019,0.001,0.19,0.012,99.594,0.001,0.184
urn:li:member:91640710,1.321,0.73,3.246,0.818,7.842,0.182,85.862
urn:li:member:200609860,0.008,0.002,0.001,99.977,0.001,0.011,0.001
urn:li:member:1029113,0.132,0.145,0.01,0.328,71.346,0.01,28.029
urn:li:member:4646257,0.001,0.002,0.001,95.782,4.213,0.001,0.001
urn:li:member:140787031,0.001,0.0,0.0,99.992,0.005,0.0,0.002
urn:li:member:162283450,1.929,0.041,0.205,1.602,87.081,9.102,0.041
urn:li:member:14059714,0.235,1.075,0.235,0.532,12.697,1.159,84.068
urn:li:member:1366714,0.0,0.0,0.0,0.0,99.996,0.0,0.004
urn:li:member:42643894,0.0,0.0,0.0,99.929,0.062,0.008,0.0
urn:li:member:21421022,0.029,1.633,14.938,82.535,0.127,0.029,0.709
urn:li:member:21888543,1.06,0.066,2.684,95.474,0.411,0.164,0.141
urn:li:member:97550962,0.003,0.137,0.003,99.293,0.179,0.381,0.006
urn:li:member:36694642,0.002,0.02,0.002,88.663,11.058,0.253,0.002
urn:li:member:35461376,0.0,0.0,0.0,99.995,0.0,0.0,0.004
urn:li:member:15639098,0.001,0.244,0.001,99.597,0.154,0.002,0.001
urn:li:member:29253851,0.03,0.333,0.03,76.294,22.689,0.593,0.03
urn:li:member:197922777,0.0,0.0,0.0,99.997,0.0,0.0,0.002
urn:li:member:57673230,0.001,9.724,0.103,90.169,0.001,0.001,0.001
urn:li:member:12448812,0.006,0.005,0.005,1.087,98.661,0.005,0.232
urn:li:member:70640005,0.001,0.002,0.002,0.011,99.981,0.001,0.003
urn:li:member:95335657,0.001,16.639,0.001,82.418,0.928,0.012,0.001
urn:li:member:7244195,0.036,0.313,0.008,0.395,99.12,0.121,0.008
urn:li:member:132015422,0.0,0.364,0.0,97.988,1.647,0.0,0.0
urn:li:member:51308753,0.001,0.072,0.003,99.92,0.001,0.003,0.001
urn:li:member:42571537,0.006,0.033,0.001,99.954,0.004,0.001,0.001
urn:li:member:162627550,0.005,0.001,0.001,99.968,0.025,0.001,0.001
urn:li:member:2603253,13.036,0.035,0.035,4.11,0.06,0.102,82.623
urn:li:member:15329248,0.058,0.027,0.027,9.057,83.343,7.458,0.027
urn:li:member:97401548,0.002,0.311,0.049,99.532,0.095,0.002,0.008
urn:li:member:12161836,2.307,1.797,0.104,94.691,0.043,0.043,1.016
urn:li:member:150161660,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:40983620,0.014,10.302,0.014,83.264,5.49,0.9,0.014
urn:li:member:70724803,0.044,1.86,0.082,91.989,0.044,5.902,0.079
urn:li:member:113103434,0.001,0.049,0.002,99.945,0.0,0.003,0.0
urn:li:member:67292547,0.001,0.0,0.0,0.087,99.909,0.0,0.003
urn:li:member:25332000,0.002,0.002,0.002,99.427,0.431,0.003,0.133
urn:li:member:164783933,0.0,0.0,0.0,99.996,0.002,0.0,0.001
urn:li:member:82499117,0.005,0.005,0.021,77.759,22.1,0.005,0.104
urn:li:member:43270928,16.387,5.512,0.161,0.161,23.778,6.914,47.086
urn:li:member:117119916,0.003,0.0,0.004,0.011,99.974,0.0,0.007
urn:li:member:126046112,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:209989021,0.015,0.001,0.001,0.007,99.949,0.013,0.013
urn:li:member:12382137,0.001,0.935,0.003,99.059,0.001,0.001,0.001
urn:li:member:11522605,0.017,0.001,0.005,0.001,99.509,0.001,0.466
urn:li:member:258771904,0.212,0.102,1.792,1.021,0.84,95.943,0.089
urn:li:member:18604064,0.016,0.013,0.297,18.246,81.402,0.013,0.013
urn:li:member:3256062,0.003,0.003,0.008,70.854,29.122,0.003,0.008
urn:li:member:18507593,0.015,0.108,0.015,64.149,35.679,0.018,0.015
urn:li:member:76003691,1.292,0.013,0.01,0.119,98.546,0.01,0.01
urn:li:member:23895892,0.001,0.148,0.001,99.247,0.6,0.001,0.001
urn:li:member:11727847,0.289,0.027,0.155,0.082,90.228,0.027,9.193
urn:li:member:27037431,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:33899611,0.006,0.002,0.088,99.882,0.014,0.003,0.006
urn:li:member:7746842,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:88426021,0.002,0.002,0.002,9.922,90.014,0.002,0.057
urn:li:member:2518882,0.008,0.0,0.0,99.99,0.0,0.0,0.0
urn:li:member:413900363,0.0,0.0,0.0,0.836,99.163,0.0,0.0
urn:li:member:363978068,6.28,0.185,77.053,0.289,14.948,1.06,0.185
urn:li:member:359835880,0.0,0.0,0.026,99.434,0.0,0.538,0.001
urn:li:member:235911709,0.0,0.0,0.0,99.855,0.142,0.003,0.0
urn:li:member:195834,0.0,0.039,0.001,99.96,0.0,0.0,0.0
urn:li:member:13837048,0.005,0.031,0.005,99.508,0.284,0.148,0.018
urn:li:member:4124533,0.01,0.001,0.001,99.609,0.377,0.001,0.001
urn:li:member:48820754,0.002,1.59,0.002,94.847,0.028,0.002,3.529
urn:li:member:163018,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:10674507,0.0,0.0,0.0,97.844,2.155,0.0,0.0
urn:li:member:15709260,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:149611612,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:36920831,0.261,0.1,0.003,99.615,0.011,0.008,0.003
urn:li:member:3777218,0.072,0.026,0.001,0.024,99.876,0.001,0.001
urn:li:member:573244878,0.004,84.029,0.004,7.126,8.778,0.01,0.049
urn:li:member:34136580,0.0,0.0,0.0,0.158,99.837,0.002,0.002
urn:li:member:83521408,0.016,0.227,0.072,99.554,0.016,0.016,0.1
urn:li:member:4014577,0.0,2.786,0.0,97.214,0.0,0.0,0.0
urn:li:member:20360156,0.006,0.006,0.043,93.35,6.564,0.026,0.006
urn:li:member:139786030,2.989,0.18,0.192,91.75,4.735,0.077,0.077
urn:li:member:56532499,0.001,0.001,0.006,99.984,0.001,0.001,0.008
urn:li:member:5595047,0.085,2.726,0.085,0.574,65.745,30.492,0.291
urn:li:member:1246170,0.005,0.005,0.113,96.691,0.027,3.155,0.005
urn:li:member:54763585,9.089,0.152,2.159,88.378,0.074,0.074,0.074
urn:li:member:7167231,0.023,0.0,0.004,0.051,0.0,99.922,0.0
urn:li:member:139751845,1.602,0.091,0.207,89.266,0.091,0.549,8.194
urn:li:member:18328740,0.912,0.053,0.361,68.459,28.587,1.333,0.295
urn:li:member:348774021,0.699,0.055,0.055,7.87,90.644,0.055,0.622
urn:li:member:549362532,0.0,0.016,0.028,99.955,0.0,0.0,0.0
urn:li:member:918458,0.01,0.018,0.01,7.632,92.198,0.018,0.114
urn:li:member:41500287,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:5418741,0.004,0.01,0.004,99.889,0.004,0.008,0.081
urn:li:member:17895367,0.021,0.021,0.161,95.102,0.502,4.171,0.023
urn:li:member:127934290,0.018,0.143,0.005,99.813,0.006,0.008,0.007
urn:li:member:163056569,0.0,0.0,0.0,99.999,0.001,0.0,0.0
urn:li:member:53942681,0.005,0.008,0.022,99.791,0.022,0.005,0.147
urn:li:member:14164875,0.0,0.0,0.0,0.011,99.987,0.001,0.0
urn:li:member:232361682,0.23,0.306,0.009,99.157,0.281,0.009,0.009
urn:li:member:5526509,0.004,0.018,0.006,1.582,98.359,0.004,0.026
urn:li:member:100711395,0.057,1.253,55.89,0.057,42.475,0.195,0.074
urn:li:member:46692373,0.001,0.001,0.001,99.998,0.0,0.0,0.0
urn:li:member:64420909,0.01,0.426,0.01,4.408,94.824,0.01,0.311
urn:li:member:49366382,0.0,0.019,0.0,99.981,0.0,0.0,0.0
urn:li:member:23448206,2.697,1.546,0.382,90.315,0.108,0.108,4.845
urn:li:member:2081780,0.015,0.325,0.001,99.655,0.001,0.001,0.001
urn:li:member:75027304,0.0,0.0,0.0,99.997,0.003,0.0,0.0
urn:li:member:40541188,2.381,0.004,0.011,97.59,0.004,0.006,0.004
urn:li:member:50251578,0.222,5.9,40.68,3.487,47.883,0.875,0.951
urn:li:member:1623226,0.0,0.0,0.0,48.018,51.975,0.0,0.006
urn:li:member:527654879,0.0,0.0,0.0,99.998,0.0,0.001,0.0
urn:li:member:6034821,0.032,1.777,0.032,39.041,59.027,0.032,0.06
urn:li:member:85810913,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:135841603,0.011,0.005,0.0,99.982,0.0,0.0,0.0
urn:li:member:27132956,0.0,0.004,0.0,98.057,1.938,0.0,0.0
urn:li:member:1628092,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:43655689,0.0,0.066,0.011,99.338,0.585,0.0,0.0
urn:li:member:74937492,0.016,0.014,0.014,0.755,98.751,0.104,0.346
urn:li:member:1303327,0.048,0.195,0.008,0.006,99.183,0.547,0.013
urn:li:member:122726821,0.0,0.001,0.002,99.977,0.0,0.019,0.0
urn:li:member:24840596,0.0,0.001,0.0,99.982,0.016,0.0,0.0
urn:li:member:28812604,0.001,0.001,0.001,2.739,97.245,0.002,0.011
urn:li:member:155172516,0.001,1.236,0.001,98.758,0.001,0.002,0.001
urn:li:member:10239628,0.005,0.068,0.018,0.785,98.862,0.257,0.005
urn:li:member:2161221,0.077,0.735,0.476,35.321,62.94,0.375,0.077
urn:li:member:48287077,0.015,6.91,0.266,92.762,0.015,0.015,0.015
urn:li:member:138571188,0.0,0.001,0.034,99.957,0.0,0.007,0.001
urn:li:member:100626222,0.685,0.017,0.017,4.487,94.588,0.138,0.068
urn:li:member:198296378,0.001,0.005,0.001,99.978,0.001,0.011,0.003
urn:li:member:1307553,0.348,0.015,0.003,99.621,0.008,0.003,0.003
urn:li:member:200867770,0.006,0.269,0.006,97.289,0.176,2.249,0.006
urn:li:member:1407004,0.002,0.002,0.002,99.987,0.004,0.002,0.002
urn:li:member:65910573,0.53,0.009,0.009,97.886,0.205,0.009,1.351
urn:li:member:20304176,0.0,0.0,0.0,0.002,99.996,0.001,0.0
urn:li:member:161598438,0.192,0.028,21.085,0.565,77.989,0.093,0.048
urn:li:member:4789216,0.003,0.0,0.0,83.936,16.06,0.0,0.0
urn:li:member:957625,0.0,0.004,0.0,99.994,0.0,0.0,0.001
urn:li:member:1645116,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:12926627,0.046,1.049,0.011,97.635,1.017,0.23,0.011
urn:li:member:45964273,0.031,0.058,0.02,99.875,0.005,0.005,0.009
urn:li:member:26410420,0.005,0.163,0.008,70.099,29.701,0.005,0.018
urn:li:member:3603560,0.715,0.24,0.011,98.67,0.011,0.011,0.343
urn:li:member:111728204,0.004,0.017,0.004,94.35,5.608,0.004,0.015
urn:li:member:18360610,0.219,0.032,60.217,37.335,0.032,1.604,0.56
urn:li:member:13380921,0.026,1.948,0.026,97.885,0.029,0.061,0.026
urn:li:member:110280607,0.0,0.0,0.0,99.992,0.001,0.005,0.0
urn:li:member:49344275,0.041,0.042,0.044,23.112,76.689,0.039,0.034
urn:li:member:20767955,0.031,6.393,0.031,51.294,15.805,26.416,0.031
urn:li:member:98757674,0.015,0.023,0.011,98.739,0.365,0.835,0.011
urn:li:member:80854817,0.0,0.0,0.0,99.994,0.002,0.0,0.002
urn:li:member:10629413,0.008,0.123,0.066,99.671,0.127,0.003,0.003
urn:li:member:574812845,8.404,0.348,14.948,74.717,0.297,0.297,0.987
urn:li:member:8070443,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:10486446,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:98246388,0.022,0.086,0.022,80.732,7.14,11.975,0.022
urn:li:member:36293434,0.03,3.527,0.429,0.03,93.654,0.792,1.539
urn:li:member:12348188,0.234,0.008,0.135,99.575,0.008,0.033,0.008
urn:li:member:1118998,0.01,0.048,0.01,98.852,0.911,0.154,0.015
urn:li:member:13772322,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:67447743,0.072,0.008,0.007,98.822,0.143,0.909,0.038
urn:li:member:5988557,0.001,0.001,0.012,99.846,0.138,0.001,0.001
urn:li:member:267254300,0.001,0.0,0.0,99.998,0.0,0.0,0.0
urn:li:member:19350848,0.014,0.244,86.902,6.825,0.015,5.972,0.028
urn:li:member:12611918,0.001,0.0,0.093,99.904,0.0,0.001,0.001
urn:li:member:8459402,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:115694202,0.118,0.583,0.343,2.906,6.641,87.157,2.253
urn:li:member:74188687,0.0,0.0,0.0,99.993,0.001,0.005,0.0
urn:li:member:2680567,0.001,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:36004050,0.015,1.24,0.613,0.003,98.121,0.005,0.003
urn:li:member:31274059,0.0,0.0,0.0,0.008,99.992,0.0,0.0
urn:li:member:12559103,0.001,1.237,0.001,0.12,98.638,0.001,0.002
urn:li:member:7039488,0.003,1.35,0.01,98.62,0.003,0.01,0.003
urn:li:member:22490386,0.003,0.015,0.05,0.005,99.896,0.029,0.001
urn:li:member:2591602,3.416,6.967,0.753,57.684,22.813,8.101,0.265
urn:li:member:56591581,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:41069879,0.003,0.003,0.003,33.626,66.322,0.04,0.003
urn:li:member:216182155,0.01,1.096,0.08,95.788,0.01,0.01,3.006
urn:li:member:59809730,0.0,0.058,0.0,99.942,0.0,0.0,0.0
urn:li:member:24998671,0.01,0.023,0.019,97.132,2.777,0.01,0.029
urn:li:member:26614695,0.002,0.064,0.002,6.231,93.692,0.005,0.005
urn:li:member:59582618,0.001,2.293,0.002,97.703,0.0,0.0,0.0
urn:li:member:32171705,0.0,0.02,0.001,99.979,0.0,0.0,0.0
urn:li:member:67206,0.0,0.025,0.0,99.917,0.057,0.0,0.0
urn:li:member:1996198,0.122,7.149,1.097,85.081,3.869,2.418,0.265
urn:li:member:3562064,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:10724170,0.001,0.004,0.004,99.819,0.003,0.165,0.003
urn:li:member:193032640,0.0,0.0,0.046,99.952,0.0,0.0,0.001
urn:li:member:118448005,28.546,3.21,0.124,45.942,0.124,21.929,0.124
urn:li:member:5593054,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:1759773,0.359,0.001,0.001,99.574,0.065,0.001,0.001
urn:li:member:7377410,0.063,0.001,0.0,99.936,0.0,0.0,0.0
urn:li:member:12892340,0.04,0.172,0.04,2.638,92.993,0.04,4.076
urn:li:member:12412017,0.0,0.007,0.0,99.988,0.004,0.001,0.0
urn:li:member:76771510,0.001,0.003,0.001,99.982,0.009,0.003,0.001
urn:li:member:51874480,13.398,1.631,1.044,0.258,59.93,0.487,23.252
urn:li:member:25187712,0.001,2.59,0.18,97.226,0.001,0.001,0.001
urn:li:member:3198459,0.013,0.013,1.74,95.716,2.312,0.037,0.168
urn:li:member:66879761,1.778,0.006,0.009,98.129,0.006,0.006,0.067
urn:li:member:44824415,0.006,0.006,0.006,59.874,39.895,0.203,0.011
urn:li:member:5722596,0.006,0.005,0.475,99.498,0.005,0.005,0.005
urn:li:member:97448797,0.0,0.001,0.0,99.998,0.0,0.001,0.0
urn:li:member:25835791,0.009,1.295,0.003,98.676,0.003,0.013,0.003
urn:li:member:52337835,0.235,0.104,0.002,99.653,0.004,0.001,0.001
urn:li:member:37429336,0.0,0.118,0.0,99.882,0.0,0.0,0.0
urn:li:member:26250268,0.0,0.0,0.029,99.968,0.0,0.0,0.001
urn:li:member:58567173,0.003,0.003,0.003,70.076,29.884,0.003,0.03
urn:li:member:280584072,16.371,0.005,0.005,2.79,80.252,0.005,0.572
urn:li:member:333261309,44.278,4.506,0.003,50.802,0.012,0.003,0.396
urn:li:member:188484361,0.0,0.0,0.0,98.937,1.061,0.001,0.0
urn:li:member:122338,0.0,0.0,0.0,99.803,0.197,0.0,0.0
urn:li:member:9264638,0.019,0.019,0.053,4.856,90.861,0.034,4.159
urn:li:member:114103840,0.015,0.296,0.956,65.97,32.624,0.015,0.123
urn:li:member:179474691,0.001,0.001,0.001,46.14,53.853,0.001,0.003
urn:li:member:121346208,0.922,0.054,0.134,0.054,97.423,0.658,0.755
urn:li:member:26031051,0.011,0.025,0.547,81.921,0.089,17.054,0.352
urn:li:member:110485076,0.265,0.006,0.344,0.002,99.353,0.029,0.002
urn:li:member:172465177,0.03,0.075,0.131,81.698,17.793,0.03,0.241
urn:li:member:24302913,0.005,95.197,0.118,4.628,0.005,0.042,0.005
urn:li:member:58299165,0.035,0.122,0.035,3.419,89.025,1.126,6.238
urn:li:member:18176376,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:11976410,0.001,0.001,0.001,75.129,24.861,0.001,0.006
urn:li:member:14273893,0.001,0.001,0.001,99.617,0.001,0.003,0.374
urn:li:member:28843663,0.036,14.172,2.235,80.962,2.415,0.144,0.036
urn:li:member:241381,0.0,2.17,0.001,97.828,0.001,0.0,0.0
urn:li:member:11273443,0.009,0.001,0.001,99.973,0.005,0.01,0.001
urn:li:member:99131468,20.203,0.012,0.012,0.045,47.735,0.012,31.982
urn:li:member:244319430,0.002,0.313,0.002,99.656,0.022,0.004,0.002
urn:li:member:8193761,0.029,59.005,0.029,40.197,0.661,0.049,0.029
urn:li:member:49570113,14.332,0.035,0.007,85.583,0.022,0.014,0.007
urn:li:member:11282888,0.004,0.004,0.005,98.755,1.22,0.007,0.004
urn:li:member:237214280,0.593,53.753,0.058,18.446,12.986,14.106,0.058
urn:li:member:3106021,0.001,0.0,0.0,99.994,0.005,0.0,0.0
urn:li:member:163243069,0.001,0.032,0.001,99.731,0.229,0.003,0.001
urn:li:member:148786965,0.001,0.001,0.001,0.001,99.874,0.001,0.123
urn:li:member:5244793,0.007,0.01,0.122,92.898,6.948,0.007,0.007
urn:li:member:65887034,0.077,0.8,0.077,83.207,13.926,1.836,0.077
urn:li:member:189879698,11.956,0.153,0.153,0.292,5.464,0.854,81.128
urn:li:member:3667072,0.0,0.002,0.002,99.995,0.0,0.0,0.0
urn:li:member:312714154,0.035,0.035,0.041,31.555,64.562,3.406,0.366
urn:li:member:15692868,0.001,0.001,0.001,3.194,96.802,0.001,0.001
urn:li:member:53380844,0.001,0.001,0.001,98.345,1.647,0.001,0.003
urn:li:member:10794346,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:115843094,18.346,27.044,23.213,3.359,23.881,0.815,3.342
urn:li:member:1394734,1.378,2.788,0.055,95.612,0.097,0.02,0.05
urn:li:member:54367349,0.093,43.966,0.468,53.788,0.093,0.098,1.494
urn:li:member:13044845,0.0,0.0,0.001,99.999,0.0,0.0,0.0
urn:li:member:257510165,0.018,1.995,0.01,97.835,0.01,0.01,0.122
urn:li:member:19962978,0.015,1.438,0.012,98.403,0.012,0.108,0.012
urn:li:member:11662340,0.0,0.704,0.0,99.293,0.001,0.0,0.0
urn:li:member:90663439,0.038,0.038,0.198,1.224,93.219,1.651,3.632
urn:li:member:9689483,15.67,6.397,0.371,0.824,76.271,0.269,0.199
urn:li:member:5474807,0.0,0.0,0.0,1.924,98.074,0.001,0.0
urn:li:member:137232035,8.705,0.787,0.381,0.213,38.15,37.408,14.356
urn:li:member:16184520,0.008,0.01,0.001,0.113,99.86,0.001,0.008
urn:li:member:132086732,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:137229366,0.0,0.0,0.0,99.999,0.001,0.0,0.0
urn:li:member:44948750,0.0,0.003,0.0,99.968,0.028,0.0,0.0
urn:li:member:35584167,0.0,0.0,0.0,99.999,0.0,0.001,0.0
urn:li:member:248178678,0.004,0.004,0.017,46.296,53.645,0.03,0.004
urn:li:member:26948919,0.001,0.001,0.001,99.934,0.036,0.001,0.027
urn:li:member:28867597,0.002,0.004,0.123,0.004,99.813,0.002,0.051
urn:li:member:439233094,0.0,0.02,0.0,99.979,0.0,0.0,0.0
urn:li:member:15379234,0.003,0.047,0.017,97.551,0.002,2.379,0.002
urn:li:member:12663829,0.013,0.02,0.013,78.373,6.669,14.898,0.013
urn:li:member:5893472,0.001,0.005,0.003,99.989,0.001,0.001,0.001
urn:li:member:104104455,0.067,0.571,10.932,21.066,67.229,0.067,0.067
urn:li:member:72053540,0.001,0.048,0.001,99.809,0.001,0.137,0.002
urn:li:member:158771,13.028,6.641,0.224,4.316,68.593,6.468,0.73
urn:li:member:23744465,0.006,0.366,0.184,99.442,0.0,0.002,0.0
urn:li:member:206272905,0.746,0.434,0.183,78.278,0.48,19.547,0.332
urn:li:member:916369,0.022,0.26,0.022,1.219,97.858,0.597,0.023
urn:li:member:22832145,0.051,0.016,0.016,5.351,94.411,0.05,0.106
urn:li:member:7652880,0.0,0.153,0.0,99.847,0.0,0.0,0.0
urn:li:member:5247790,0.025,0.025,35.083,1.387,61.092,1.033,1.357
urn:li:member:3566437,0.031,0.0,0.001,99.967,0.0,0.0,0.0
urn:li:member:142962383,0.0,0.005,0.006,98.975,1.014,0.0,0.0
urn:li:member:13518135,1.614,0.088,0.743,5.831,65.621,26.016,0.088
urn:li:member:21612062,0.0,0.004,0.0,99.994,0.0,0.0,0.0
urn:li:member:21914190,0.035,0.001,0.476,99.485,0.001,0.001,0.001
urn:li:member:6004281,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:193865916,0.0,0.0,0.0,99.998,0.002,0.0,0.0
urn:li:member:127912497,0.004,0.011,0.096,1.166,98.713,0.004,0.006
urn:li:member:41960276,0.14,11.269,0.341,75.45,9.833,0.812,2.156
urn:li:member:232305094,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:23787042,0.003,0.029,0.012,99.751,0.003,0.129,0.074
urn:li:member:3758162,0.0,0.0,0.0,99.999,0.001,0.0,0.0
urn:li:member:2758794,0.068,0.068,2.593,5.756,88.671,0.25,2.592
urn:li:member:1964445,0.007,0.0,0.0,99.992,0.0,0.0,0.0
urn:li:member:5471603,0.118,0.084,0.012,99.237,0.012,0.525,0.012
urn:li:member:154355398,0.01,0.498,0.01,73.879,24.944,0.6,0.058
urn:li:member:79863243,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:190922511,0.028,0.001,0.001,76.394,23.575,0.001,0.001
urn:li:member:39861993,0.156,0.248,0.953,80.256,1.573,14.137,2.676
urn:li:member:2810148,0.0,0.0,0.0,99.999,0.0,0.0,0.001
urn:li:member:29722130,6.758,76.392,1.751,10.312,0.193,1.998,2.596
urn:li:member:385780,0.0,0.0,0.0,99.981,0.0,0.0,0.018
urn:li:member:1096025,0.494,0.143,0.019,0.16,98.336,0.831,0.019
urn:li:member:18660444,4.258,0.001,0.002,95.734,0.001,0.002,0.001
urn:li:member:68364048,11.625,0.462,0.043,84.428,3.355,0.043,0.043
urn:li:member:126176133,0.0,0.026,0.073,99.898,0.002,0.0,0.0
urn:li:member:80533645,10.961,0.125,0.227,88.535,0.024,0.021,0.107
urn:li:member:5757399,0.001,7.436,0.001,92.549,0.001,0.001,0.012
urn:li:member:6642816,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:7430197,0.033,0.012,0.012,1.529,97.649,0.146,0.62
urn:li:member:42239733,0.048,0.048,0.011,0.715,88.59,10.577,0.011
urn:li:member:1265075,91.569,0.019,0.019,6.863,1.429,0.019,0.083
urn:li:member:12600772,0.0,0.0,0.0,99.999,0.0,0.001,0.0
urn:li:member:6108768,0.002,0.209,0.002,99.675,0.107,0.002,0.002
urn:li:member:7868389,0.0,0.0,0.003,99.989,0.006,0.0,0.002
urn:li:member:12729005,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:86392784,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:12924392,0.012,0.008,0.116,99.532,0.321,0.006,0.006
urn:li:member:54589757,0.003,0.201,0.5,99.245,0.003,0.044,0.004
urn:li:member:327322,0.0,0.0,0.0,99.996,0.003,0.0,0.0
