m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:46011921,0.0,0.0,0.001,99.998,0.0,0.0,0.0
urn:li:member:3072570,0.0,0.001,0.0,99.998,0.001,0.0,0.0
urn:li:member:7591797,0.01,0.006,0.025,81.215,16.461,0.006,2.278
urn:li:member:3642425,0.002,0.0,0.001,99.995,0.002,0.0,0.0
urn:li:member:175011710,0.031,0.005,0.026,99.789,0.002,0.134,0.013
urn:li:member:231715763,0.001,0.021,0.001,99.499,0.435,0.043,0.001
urn:li:member:182837358,0.01,0.042,0.0,99.934,0.001,0.0,0.012
urn:li:member:4061200,0.0,0.0,0.0,0.099,99.897,0.001,0.002
urn:li:member:111264467,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:4750580,0.003,0.003,0.003,53.604,46.352,0.031,0.003
urn:li:member:4349261,0.019,0.005,0.005,32.597,67.363,0.007,0.005
urn:li:member:2325600,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:14329684,0.001,0.002,0.002,99.61,0.099,0.285,0.001
urn:li:member:3119336,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:32857572,0.003,4.958,0.137,94.845,0.003,0.003,0.051
urn:li:member:118400757,0.001,0.019,0.001,99.977,0.001,0.001,0.001
urn:li:member:47940214,0.042,0.002,0.002,0.12,99.495,0.002,0.335
urn:li:member:158662900,0.001,0.08,0.001,99.235,0.591,0.092,0.001
urn:li:member:7253967,0.0,0.0,0.0,99.992,0.001,0.0,0.005
urn:li:member:3303781,0.006,0.006,0.054,98.365,0.006,0.006,1.556
urn:li:member:155391647,0.006,0.006,0.013,45.432,54.527,0.006,0.011
urn:li:member:36013363,0.0,0.0,0.0,99.999,0.0,0.0,0.0
urn:li:member:19457093,0.0,0.0,0.0,99.998,0.0,0.001,0.001
urn:li:member:16395623,0.0,0.001,0.0,99.999,0.0,0.0,0.0
urn:li:member:62510409,0.0,0.0,0.0,100.0,0.0,0.0,0.0
urn:li:member:173366652,0.0,0.006,5.405,94.588,0.0,0.0,0.0
urn:li:member:6536969,0.0,0.477,0.0,99.517,0.0,0.001,0.005
urn:li:member:14998855,0.001,0.009,0.03,99.951,0.001,0.001,0.007
urn:li:member:6607260,0.013,0.004,0.004,20.599,79.365,0.004,0.012
urn:li:member:3886747,0.673,0.058,0.058,61.102,37.293,0.058,0.758
urn:li:member:6167147,0.496,0.774,0.075,3.325,94.728,0.526,0.075
urn:li:member:132690245,0.003,0.641,0.003,19.19,80.004,0.003,0.155
